Site	basin	TD	FD	PD	LCBDtax	LCBDfunc	LCBDphylo	Elevation	Gradient	SPI	Qmon	Qann	CatchArea	Order	Out_dist	MAT	Tsea	Ttrend	MAP	Psea	Ptrend	HFP	Urban	Cropland	TN	TP	EC	pH	DO	COD
YTR55	YTR	8.979907074	4.324511958	1.809630998	1.041343	0.335389517	0.329637	226	0.0001	3.266484339	2.010416667	6.935	149.7	3	491.4	14.87967122	8.62003459	0.020758467	1618.214176	53.77527469	3.026004466	3.039738894	0.000870843	0.048706883	2.3	0.17	86.3	8.61	7.61	1.5
YTR56	YTR	12.82960304	3.82452248	2.418645805	1.052294	0.186239362	0.105057	256	0.084269	0.0009995	1.958333333	10.419	224.7	3	468.3	14.87967122	8.56264825	0.020758467	1618.214176	52.76195739	3.026004466	19.01033211	0.006386045	0.108830272	2.8	0.12	69.5	7.65	7.62	4
YTR57	YTR	4.017419039	2.432148097	1.201980551	1.147713	0.845991646	1.14719	114	0.0001	1.657465881	1.71875	15.223	323	4	483.7	14.87967122	8.644034642	0.020758467	1618.214176	53.1403011	3.026004466	10.74504375	0.021149271	0.451228841	2.7	0.2	71	7.72	7.41	1.2
YTR58	YTR	8.746598666	2.528327896	2.266655609	0.926322	0.463749596	1.28934	346	0.0001	2.853534868	8.427083333	6.401	139.8	2	474.2	14.87967122	8.594533292	0.020758467	1618.214176	52.69224099	3.026004466	15.09709072	0.003773555	0.011190895	2.9	0.47	80.9	7.76	7	8.3
YTR59	YTR	6.985820493	3.028827154	3.272807976	1.103461	0.419889388	0.604179	224	0.0001	1.957556354	11.04166667	7.626	165.8	2	467.1	14.87967122	8.581579562	0.020758467	1618.214176	52.47007121	3.026004466	26.26773071	0.021189745	0.110471251	4.1	0.22	111.2	8.26	7.62	6.4
YTR60	YTR	11.72038032	2.745434731	2.098174681	0.953062	0.44589476	0.444072	290	0.0001	1.693043496	11.10416667	9.267	202.9	3	482.7	14.73841644	8.562073076	0.020599036	1610.864462	52.55377252	3.194791255	14.663414	0.023709458	0.260492129	2.3	0.26	94.8	7.37	8.08	2.1
YTR61	YTR	17.00139637	3.319192135	2.80498962	0.963066	0.294449277	0.132262	157	0.014045	0.0009995	31.23958333	23.728	513.2	4	468.8	14.73841644	8.662261125	0.020599036	1610.864462	51.9660151	3.194791255	24.98612213	0.141285429	0.687026524	2.2	0.21	81.6	7.52	8.31	4.5
YTR62	YTR	8.601683194	3.004730134	1.962828291	1.141269	1.092085311	2.945773	268	0.127483	0.005982072	1.489583333	29.203	627.9	4	460.6	14.73841644	8.613580228	0.020599036	1610.864462	52.00688057	3.194791255	13.92130184	0	0.026892736	2.9	0.26	76.4	7.62	7.46	2.5
YTR63	YTR	13.72546144	3.612107564	2.593920292	1.01984	0.332412514	0.268144	268	0.032411	0.176471143	36.44791667	0.553	12.8	2	458	14.73841644	8.566126394	0.020599036	1610.864462	52.25207911	3.194791255	7.438579082	0.000870817	0.003264711	3.2	0.25	86.8	7.91	6.26	2.9
YTR64	YTR	14.51233039	3.000460428	3.726012823	1.007461	0.415215128	0.316098	753	0.022516	0.0009995	36.44791667	31.726	671.2	4	449.7	14.73841644	8.561084804	0.020599036	1610.864462	52.19892113	3.194791255	12.47910213	0.013352381	0.054929169	2.6	0.22	99.4	8.47	8.46	3.1
YTR65	YTR	16.76646328	3.591054041	2.849147228	0.993127	0.405474763	0.79258	304	0.077787	0.001998003	3.302083333	0.291	7.1	1	471.4	14.54252326	8.514254263	0.021739263	1619.968198	51.89767568	3.356106397	15.95531368	0.00948697	0.334474335	3.7	0.5	133.3	7.99	8.78	4.4
